"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 12 19:58:02 CST 2021","Wed May 12 19:58:02 CST 2021","0","","Oracle login test: As a user, I can log into the secure area","","Oracle login test: As a user, I can log into the secure area","Hook","Hook",""
"passed","Wed May 12 18:05:53 CST 2021","Wed May 12 18:05:53 CST 2021","89","","Oracle login test: As a user, I can log into the secure area","","Oracle login test: As a user, I can log into the secure area","Then Check my account is logged in","Then Check my account is logged in",""
"passed","Wed May 12 18:05:51 CST 2021","Wed May 12 18:05:53 CST 2021","2321","","Oracle login test: As a user, I can log into the secure area","","Oracle login test: As a user, I can log into the secure area","When Enter my username ""154387566@qq.com"" and password ""oracle2B!""","When Enter my username ""154387566@qq.com"" and password ""oracle2B!""",""
"passed","Wed May 12 19:57:49 CST 2021","Wed May 12 19:58:01 CST 2021","11743","","Oracle login test: As a user, I can log into the secure area","","Oracle login test: As a user, I can log into the secure area","Given Open oracle's login page","Given Open oracle's login page",""
"passed","Wed May 12 19:58:02 CST 2021","Wed May 12 19:58:02 CST 2021","521","","Oracle login test: As a user, I can log into the secure area","","Oracle login test: As a user, I can log into the secure area","Then Check the error message","Then Check the error message",""
"passed","Wed May 12 19:57:49 CST 2021","Wed May 12 19:57:49 CST 2021","476","","Oracle login test: As a user, I can log into the secure area","","Oracle login test: As a user, I can log into the secure area","Then Reload session","Then Reload session",""
"skipped","Wed May 12 19:37:44 CST 2021","Wed May 12 19:37:44 CST 2021","0","","Oracle login test: As a user, I can log into the secure area","","Oracle login test: As a user, I can log into the secure area","Then Close session","Then Close session",""
"passed","Wed May 12 19:58:01 CST 2021","Wed May 12 19:58:02 CST 2021","916","","Oracle login test: As a user, I can log into the secure area","","Oracle login test: As a user, I can log into the secure area","When Enter username and password of ""invalidlogin""","When Enter username and password of ""invalidlogin""",""
"passed","Wed May 12 19:57:49 CST 2021","Wed May 12 19:57:49 CST 2021","78","","Oracle login test: As a user, I can log into the secure area","","Oracle login test: As a user, I can log into the secure area","Then Check the account is logged in","Then Check the account is logged in",""
"broken","Wed May 12 19:26:59 CST 2021","Wed May 12 19:26:59 CST 2021","0","","Oracle login test: As a user, I can log into the secure area","","Oracle login test: As a user, I can log into the secure area","When Enter username and password of <group>","When Enter username and password of <group>",""
"broken","Wed May 12 19:28:14 CST 2021","Wed May 12 19:28:14 CST 2021","0","","Oracle login test: As a user, I can log into the secure area","","Oracle login test: As a user, I can log into the secure area","When Enter username and password of <group> user","When Enter username and password of <group> user",""
"passed","Wed May 12 19:57:45 CST 2021","Wed May 12 19:57:49 CST 2021","3886","","Oracle login test: As a user, I can log into the secure area","","Oracle login test: As a user, I can log into the secure area","When Enter username and password of ""validlogin""","When Enter username and password of ""validlogin""",""
